WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
1510015,OILDALE MWC,DISTRICT 12 - VISALIA,KERN,36726,11693,66370.76,35.47,-118.97,10-12-2021,
5403217,OKIEVILLE HIGHLAND ACRES MWC,DISTRICT 24 - TULARE,TULARE,300,72,3868.37,36.21,-119.35,11-18-2021,
5810003,OLIVEHURST PUBLIC U.D.,DISTRICT 21 - VALLEY,YUBA,15579,4765,26481.92,39.0954484,-121.5521858,11-16-2021,
1910101,ORCHARD DALE WATER DISTRICT,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,25000,4325,47186.88,33.9346237,-118.0370655,11-15-2021,
3710034,OTAY WATER DISTRICT,DISTRICT 14 - SAN DIEGO,SAN DIEGO,225870,50106,521302.82,32.7243155,-116.9664169,10-28-2021,
1910103,PALM RANCH IRRIGATION DIST.,DISTRICT 16 - CENTRAL,LOS ANGELES,5564,1702,30330.66,34.6458035,-118.2178257,10-11-2021,
1910102,PALMDALE WATER DIST.,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,115525,26797,757355.91,34.5879201,-118.0932017,10-07-2021,
4110020,PALO ALTO PARK MUTUAL WATER COMPANY,DISTRICT 17 - SANTA CLARA,SAN MATEO,2900,692,52722.61,37.4669977,-122.1478827,10-06-2021,
3600399,PARADISE MOBILE ESTATES,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,190,38,11720.4,33.4715331,-117.6613833,10-13-2021,
5402038,PATTERSON TRACT CSD,DISTRICT 24 - TULARE,TULARE,550,153,3232.14,36.33,-119.29,11-16-2021,
5010017,PATTERSON  CITY OF,DISTRICT 10 - STOCKTON,STANISLAUS,23764,6755,91801.54,37.4729658,-121.1336161,11-15-2021,
3610120,PHELAN PINON HILLS CSD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,23291,7058,134908.09,34.43,-117.57,10-28-2021,
0310005,PINE GROVE COMM SERV DIST,DISTRICT 10 - STOCKTON,AMADOR,907,388,4895.11,38.4096384,-120.6314948,10-06-2021,
5410009,PIXLEY PUBLIC UTIL DIST,DISTRICT 12 - VISALIA,TULARE,2772,840,5017.37,35.9671987,-119.2921118,10-15-2021,
5410039,PLAINVIEW MUTUAL WATER COMPANY,DISTRICT 12 - VISALIA,TULARE,617,187,17386.4,36.14765,-119.0616032,10-22-2021,
2410007,PLANADA CSD,DISTRICT 11 - MERCED,MERCED,4500,1097,14766.19,37.3056776,-120.3349024,10-29-2021,
1910126,POMONA - CITY  WATER DEPT.,DISTRICT 15 - METROPOLITAN,LOS ANGELES,152361,30432,871741.89,34.0588759,-117.7621216,11-09-2021,
5610009,PORT HUENEME WATER DEPT,DISTRICT 06 - SANTA BARBARA,VENTURA,21926,5846,285883.28,34.1496971,-119.1948887,11-08-2021,
3710015,POWAY  CITY OF,DISTRICT 14 - SAN DIEGO,SAN DIEGO,49737,13990,175441.72,32.9600006,-117.0400081,11-02-2021,
3710016,RAINBOW MUNICIPAL WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,21841,8317,1002380.89,33.32634960000001,-117.1622051,10-21-2021,
3710019,RAMONA MUNICIPAL WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,35628,9565,90200.53,33.0513945,-116.8554654,11-10-2021,
3310038,RANCHO CALIFORNIA WATER DISTRICT,DISTRICT 20 - RIVERSIDE,RIVERSIDE,144088,43762,371892.21,33.4767802,-117.1970557,11-02-2021,
3301535,RANCHO CARRILLO MWC,LPA63 - RIVERSIDE COUNTY,RIVERSIDE,210,74,28840.0,33.4968129,-117.6601532,10-25-2021,
3700859,RANCHO DEL CAMPO WATER SYSTEM,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,290,110,3986.76,32.8334046,-117.1303358,11-15-2021,
1510016,RAND COMMUNITIES WATER DISTRICT,DISTRICT 19 - TEHACHAPI,KERN,303,284,19175.57,35.3716084,-117.6325298,10-15-2021,
1210011,REDWAY C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,1500,584,3510.34,40.1203297,-123.8309525,11-17-2021,
1010027,REEDLEY  CITY OF,DISTRICT 23 - FRESNO,FRESNO,25917,5914,8312.76,36.5985029,-119.4536751,11-05-2021,
3610038,RIALTO  CITY OF,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,54453,11929,402237.74,34.1081533,-117.3700359,11-16-2021,
5410024,RICHGROVE COMMUNITY SERVICES DISTRICT,DISTRICT 12 - VISALIA,TULARE,1617,524,16168.32,35.799105,-119.1045077,10-07-2021,
3710018,RINCON DEL DIABLO MWD (ID-1),DISTRICT 14 - SAN DIEGO,SAN DIEGO,28689,7107,155389.57,33.1516489,-117.0953589,10-13-2021,
5210005,RIO ALTO WATER DISTRICT,DISTRICT 21 - VALLEY,TEHAMA,3329,1378,5918.34,40.3544826,-122.2129081,10-12-2021,
1210012,RIO DELL  CITY OF,DISTRICT 01 - KLAMATH,HUMBOLDT,3300,1290,37855.59,40.4988878,-124.1066914,11-03-2021,
0310006,RIVER PINES PUD,DISTRICT 10 - STOCKTON,AMADOR,510,215,8578.75,38.5447073,-120.7410793,11-01-2021,
1010028,RIVERDALE PUBLIC UTILITY DISTRICT,DISTRICT 23 - FRESNO,FRESNO,3145,928,74160.0,36.4316645,-119.8598861,11-16-2021,
3310031,RIVERSIDE  CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,312045,66033,2178114.69,33.9815747,-117.3755104,11-01-2021,
0707577,RIVERVIEW WATER ASSOCIATION,LPA37 - CONTRA COSTA COUNTY,CONTRA COSTA,230,89,726.15,38.0340942,-121.6340142,10-20-2021,
2310002,ROGINA WATER COMPANY INC.,DISTRICT 03 - MENDOCINO,MENDOCINO,3700,1016,18397.94,39.1334497,-123.1665698,10-21-2021,
4910014,ROHNERT PARK  CITY OF,DISTRICT 18 - SONOMA,SONOMA,43069,9823,232242.06,38.3456609,-122.7014047,10-14-2021,
1510018,ROSAMOND CSD,DISTRICT 19 - TEHACHAPI,KERN,16905,5264,38161.3,34.8663777,-118.1953666,11-18-2021,
1910194,ROWLAND WATER DISTRICT,DISTRICT 22 - ANGELES,LOS ANGELES,59283,13332,123873.72,33.9664971,-117.9166512,11-17-2021,
3610062,RUNNING SPRINGS WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,4862,3014,16583.26,34.2055545,-117.1054491,10-06-2021,
3410001,SACRAMENTO SUBURBAN WATER DISTRICT,DISTRICT 09 - SACRAMENTO,SACRAMENTO,184385,46573,775870.26,38.6162565,-121.4036736,10-15-2021,
3610039,SAN BERNARDINO CITY,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,204870,45413,1071105.5,34.27876810000001,-117.1504967,11-01-2021,
3710021,SAN DIEGUITO WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,39722,12037,58385.57,33.0462918,-117.2854763,10-13-2021,
1910143,SAN FERNANDO-CITY  WATER DEPT.,DISTRICT 16 - CENTRAL,LOS ANGELES,24322,5269,292846.25,34.2840654,-118.4382089,11-10-2021,
1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,DISTRICT 22 - ANGELES,LOS ANGELES,254000,46080,2358034.62,34.0749394,-118.0341611,10-28-2021,
3310032,SAN JACINTO  CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,17961,4155,170466.07,33.7856572,-116.9752162,11-16-2021,
4310011,SAN JOSE WATER,DISTRICT 17 - SANTA CLARA,SANTA CLARA,1007514,222214,9659026.58,37.3037041,-121.932312,11-01-2021,
3410021,SAN JUAN WATER DISTRICT,DISTRICT 09 - SACRAMENTO,SACRAMENTO,29641,10672,72729.97,38.7152419,-121.1732544,10-15-2021,
4410014,SAN LORENZO VALLEY WATER DIST,DISTRICT 05 - MONTEREY,SANTA CRUZ,21145,6469,175261.31,37.1235191,-122.1214201,10-15-2021,
4010009,SAN LUIS OBISPO WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,45920,15877,262458.71,35.2820187,-120.6637579,10-25-2021,
4300638,SAN MARTIN FOOTHILLS WATER COMPANY,DISTRICT 17 - SANTA CLARA,SANTA CLARA,145,44,1876.49,37.087218,-121.5697785,11-10-2021,
4010010,SAN MIGUEL COMMUNITY SERVICES DISTRICT,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,2600,923,19238.97,35.7495962,-120.6963272,10-18-2021,
1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,DISTRICT 22 - ANGELES,LOS ANGELES,131729,32179,671519.71,34.3691032,-118.5221492,11-03-2021,
4410010,SANTA CRUZ WATER DEPARTMENT,DISTRICT 05 - MONTEREY,SANTA CRUZ,97767,24554,668973.27,36.9752605,-122.028571,11-10-2021,
4210011,SANTA MARIA WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,107407,22634,1165280.5,34.9429337,-120.3676457,11-16-2021,
2410018,SANTA NELLA COUNTY WATER DISTRICT,DISTRICT 11 - MERCED,MERCED,1308,667,13733.76,37.100927,-121.0166521,11-09-2021,
4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,6737,2600,15150.91,34.6144313,-120.079868,11-12-2021,
5400550,SEVILLE WATER COMPANY,DISTRICT 24 - TULARE,TULARE,691,90,9878.98,36.2775758,-119.3154572,10-06-2021,
2900511,SHADY LAKE WATER ASSOCIATION,LPA59 - NEVADA COUNTY,NEVADA,90,28,758.61,39.3704979,-121.1023234,11-01-2021,
4700884,SHASTINA MOBILE ESTATES,DISTRICT 01 - KLAMATH,SISKIYOU,32,32,4449.6,38.7526716,-121.2882394,10-19-2021,
4810024,SID - BLUE RIDGE OAKS,DISTRICT 04 - SAN FRANCISCO,SOLANO,53,19,2681.99,38.3939412,-121.9561729,11-12-2021,
4810011,SID - ELMIRA,DISTRICT 04 - SAN FRANCISCO,SOLANO,314,88,4585.42,38.3939412,-121.9561729,11-12-2021,
4810010,SID - GIBSON CANYON,DISTRICT 04 - SAN FRANCISCO,SOLANO,452,162,14671.12,38.3939412,-121.9561729,11-12-2021,
4810025,SID - PLEASANT HILLS RANCH,DISTRICT 04 - SAN FRANCISCO,SOLANO,73,27,3285.81,38.3939412,-121.9561729,11-12-2021,
4810012,SID - QUAIL CANYON,DISTRICT 04 - SAN FRANCISCO,SOLANO,287,40,4269.22,38.3939412,-121.9561729,11-12-2021,
5510016,SIERRA PARK WATER COMPANY  INC.,DISTRICT 11 - MERCED,TUOLUMNE,300,347,10385.17,38.0641717,-120.1842328,10-07-2021,
4700521,SISKIYOU CO.SERVICE AREA #5/CARRICK,DISTRICT 01 - KLAMATH,SISKIYOU,142,58,669.5,41.42264979999999,-122.3861269,10-11-2021,
5400754,SOUTH KAWEAH MUTUAL WATER COMPANY,DISTRICT 24 - TULARE,TULARE,384,138,5013.77,36.4388364,-118.9045445,10-22-2021,
3310017,SOUTH MESA WC,DISTRICT 20 - RIVERSIDE,RIVERSIDE,11953,2978,19353.59,33.9992283,-117.0515355,11-15-2021,
1910153,SOUTH MONTEBELLO IRRIGATION DIST.,DISTRICT 22 - ANGELES,LOS ANGELES,8205,2374,35724.54,34.0014624,-118.1058098,11-09-2021,
0910002,SOUTH TAHOE PUD - MAIN,DISTRICT 09 - SACRAMENTO,EL DORADO,121124,14235,257887.25,38.9221389,-119.9694277,10-28-2021,
5410011,SPRINGVILLE PUD,DISTRICT 12 - VISALIA,TULARE,1500,390,1278.92,36.1302265,-118.8181495,10-11-2021,
5410012,STRATHMORE PUBLIC UTIL DIST,DISTRICT 12 - VISALIA,TULARE,2150,551,9206.63,36.14550699999999,-119.0606587,10-19-2021,
5400824,SULTANA CSD,DISTRICT 24 - TULARE,TULARE,866,249,16916.07,36.5450012,-119.3392005,10-14-2021,
3710025,SWEETWATER AUTHORITY,DISTRICT 14 - SAN DIEGO,SAN DIEGO,189719,33284,633540.71,32.6334938,-117.0786267,11-03-2021,
4910004,SWEETWATER SPRINGS CWD - GUERNEVILLE,DISTRICT 18 - SONOMA,SONOMA,6000,2565,7040.96,38.5025299,-123.0009489,10-18-2021,
4910028,SWEETWATER SPRINGS CWD - MONTE RIO,DISTRICT 18 - SONOMA,SONOMA,3000,1197,3618.42,38.5025299,-123.0009489,10-18-2021,
1510020,TEHACHAPI  CITY OF,DISTRICT 19 - TEHACHAPI,KERN,8839,3393,32304.87,35.1312952,-118.4462921,11-16-2021,
1900721,TERRA NOVA MOBILE HOME PARK,LPA49 - LA COUNTY,LOS ANGELES,140,75,300.0,33.7344836,-117.7930401,10-11-2021,
5400641,TEVISTON CSD,DISTRICT 24 - TULARE,TULARE,343,135,9640.8,35.935683,-119.2794391,10-06-2021,
5610020,THOUSAND OAKS WATER DEPT,DISTRICT 06 - SANTA BARBARA,VENTURA,53157,17163,600956.45,34.174303,-118.8489078,11-10-2021,
3600306,THUNDERBIRD CWD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,997,302,18249.91,34.5219758,-117.1242922,10-29-2021,
5410014,TIPTON COMMUNITY SERVICES DIST,DISTRICT 12 - VISALIA,TULARE,1998,608,10827.61,36.0608692,-119.3132937,11-08-2021,
5400567,TOOLEVILLE MUTUAL NON PROFIT WATER ASSOC,DISTRICT 24 - TULARE,TULARE,340,77,2090.9,36.2862886,-119.1155063,11-18-2021,
0710009,TOWN OF DISCOVERY BAY,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,16790,6157,57953.21,37.9026319,-121.599804,10-22-2021,
2810007,TOWN OF YOUNTVILLE,DISTRICT 03 - MENDOCINO,NAPA,2751,833,9516.94,38.403738,-122.3613855,11-15-2021,
3010094,TRABUCO CANYON WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,13659,4175,40913.25,33.6411507,-117.5732932,11-01-2021,
3910011,TRACY  CITY OF,DISTRICT 10 - STOCKTON,SAN JOAQUIN,96345,24694,706679.92,37.7655366,-121.4207773,11-03-2021,
1010030,TRANQUILLITY IRRIGATION DISTRICT,DISTRICT 23 - FRESNO,FRESNO,897,340,6460.68,36.648839,-120.2526596,10-21-2021,
5410015,TULARE  CITY OF,DISTRICT 24 - TULARE,TULARE,65982,19583,230252.6,36.1689128,-119.3367635,10-29-2021,
4300575,TWIN VALLEY INC,DISTRICT 17 - SANTA CLARA,SANTA CLARA,317,96,21455.06,38.4792124,-122.6944438,10-25-2021,
1910009,VALLEY COUNTY WATER DIST.,DISTRICT 15 - METROPOLITAN,LOS ANGELES,56754,12386,179950.72,34.0875226,-117.9579875,10-19-2021,
3610051,VALLEY OF ENCHANTMENT MWC,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,1992,823,223553.02,34.2428317,-117.2812489,11-03-2021,
4910013,VALLEY OF THE MOON WATER DISTRICT,DISTRICT 18 - SONOMA,SONOMA,23077,6993,142544.03,38.3004099,-122.486703,10-11-2021,
4210017,VANDENBERG VILLAGE COMM. SERV. DIST.,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,7442,2585,8631.4,34.7001455,-120.4669284,10-06-2021,
5610018,VENTURA CWWD NO. 1 - MOORPARK,DISTRICT 06 - SANTA BARBARA,VENTURA,38703,11011,60396.42,34.2966475,-118.876383,10-21-2021,
5610003,VENTURA CWWD NO. 17 - BELL CANYON,DISTRICT 06 - SANTA BARBARA,VENTURA,2049,710,20524.01,34.2966475,-118.876383,10-21-2021,
5610022,VENTURA RIVER WATER DISTRICT,DISTRICT 06 - SANTA BARBARA,VENTURA,5700,2166,20534.02,34.42899,-119.2974217,10-08-2021,
5610017,VENTURA WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,VENTURA,113500,29056,345092.21,34.36,-119.3,11-01-2021,
3710027,VISTA IRRIGATION DISTRICT,DISTRICT 14 - SAN DIEGO,SAN DIEGO,134588,28151,154314.23,33.14762,-117.2374354,10-27-2021,
1910234,WALNUT VALLEY WATER DISTRICT,DISTRICT 16 - CENTRAL,LOS ANGELES,99956,27106,160204.27,34.0166736,-117.8430941,10-27-2021,
2900523,WASHINGTON WATER DISTRICT,LPA59 - NEVADA COUNTY,NEVADA,330,219,12000.0,39.3590873,-120.7999351,10-05-2021,
5010026,WATERFORD - HICKMAN,DISTRICT 10 - STOCKTON,STANISLAUS,597,180,3341.32,37.6389951,-120.7587466,10-21-2021,
5010042,WATERFORD-RIVER POINTE,DISTRICT 10 - STOCKTON,STANISLAUS,1079,333,6075.97,37.6389951,-120.7587466,11-02-2021,
4710009,WEED  CITY OF,DISTRICT 01 - KLAMATH,SISKIYOU,2963,1110,22710.47,41.42264979999999,-122.3861269,10-11-2021,
1200553,WEOTT C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,364,128,18107.79,40.3214911,-123.9213179,10-18-2021,
1510022,WEST KERN WATER DISTRICT,DISTRICT 12 - VISALIA,KERN,20965,7340,36911.62,35.1424671,-119.4565078,11-15-2021,
3610004,WEST VALLEY WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,94332,23153,849494.19,34.1204314,-117.3859528,11-15-2021,
1503475,WESTERN ACRES MUTUAL WATER COMPANY,DISTRICT 12 - VISALIA,KERN,310,90,19096.2,36.34383,-119.5971865,11-08-2021,
3310036,WESTERN MWD - MURRIETA DIVISION,DISTRICT 20 - RIVERSIDE,RIVERSIDE,12810,2828,663037.85,33.8395441,-117.3709202,10-27-2021,
1210024,WESTHAVEN C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,490,227,3116.01,41.05929099999999,-124.1431246,10-15-2021,
5000408,WESTLEY CSD,LPA80 - STANISLAUS COUNTY,STANISLAUS,70,35,1096.55,37.39365069999999,-121.0726792,10-29-2021,
1910249,WHITE FENCE FARMS MWC NO. 1,DISTRICT 22 - ANGELES,LOS ANGELES,1362,454,6084.85,34.6440684,-118.166186,11-03-2021,
1500494,WILSON ROAD WATER COMMUNITY,DISTRICT 12 - VISALIA,KERN,66,20,15287.68,35.3317158,-118.9049599,10-08-2021,
5403043,YETTEM WATER SYSTEM,DISTRICT 24 - TULARE,TULARE,350,66,9023.42,36.2775758,-119.3154572,10-06-2021,
4710011,YREKA  CITY OF,DISTRICT 01 - KLAMATH,SISKIYOU,7290,3268,31128.5,41.7423135,-122.632331,10-29-2021,
